ts,endpoint,method,status_code,latency_e2e_ms,inference_ms,tokens_in,tokens_out,used_search,req_bytes,resp_bytes,uid,ram_used_mb,cpu_avg_pct
2026-05-01T07:12:39.022028+00:00,/health,GET,200,1.471,0.0,0,0,False,0,554,anonymous,12012.1,6.8
2026-05-01T07:12:41.736608+00:00,/chat,POST,503,155.251,0.0,0,0,False,613,514,anonymous,12104.4,6.9
2026-05-01T07:12:41.736988+00:00,/chat,POST,503,155.363,0.0,0,0,False,132,514,anonymous,12104.4,6.9
2026-05-01T07:12:41.737140+00:00,/chat,POST,503,155.259,0.0,0,0,False,2782,514,anonymous,12104.4,6.9
2026-05-01T07:12:41.737254+00:00,/chat,POST,503,155.663,0.0,0,0,False,129,514,anonymous,12104.4,6.9
2026-05-01T07:12:48.430717+00:00,/chat,POST,200,6849.726,0.0,0,0,False,560,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:48.432921+00:00,/chat,POST,200,6691.9,0.0,0,0,False,124,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:48.433419+00:00,/chat,POST,200,6692.506,0.0,0,0,False,150,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:48.533059+00:00,/chat,POST,200,6792.023,0.0,0,0,False,131,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.163870+00:00,/chat,POST,200,6144.073,0.0,0,0,False,137,185,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.164444+00:00,/chat,POST,200,7422.515,0.0,0,0,False,131,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.164880+00:00,/chat,POST,200,7423.317,0.0,0,0,False,122,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.165269+00:00,/chat,POST,200,7424.296,0.0,0,0,False,109,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.165655+00:00,/chat,POST,200,7424.487,0.0,0,0,False,119,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.166253+00:00,/chat,POST,200,7424.809,0.0,0,0,False,107,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.167087+00:00,/chat,POST,200,7426.01,0.0,0,0,False,148,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.167992+00:00,/chat,POST,200,7426.65,0.0,0,0,False,124,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.168750+00:00,/chat,POST,200,7427.695,0.0,0,0,False,4324,187,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.169414+00:00,/chat,POST,200,7428.097,0.0,0,0,False,136,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.169993+00:00,/chat,POST,200,7429.101,0.0,0,0,False,2891,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.170548+00:00,/chat,POST,200,7429.004,0.0,0,0,False,119,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.171041+00:00,/chat,POST,200,7429.625,0.0,0,0,False,128,184,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.171518+00:00,/chat,POST,200,7429.931,0.0,0,0,False,616,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.171970+00:00,/chat,POST,200,6068.571,0.0,0,0,False,137,185,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.172416+00:00,/chat,POST,200,7430.441,0.0,0,0,False,138,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.172820+00:00,/chat,POST,200,7430.822,0.0,0,0,False,127,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.173298+00:00,/chat,POST,200,7432.048,0.0,0,0,False,615,185,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.173710+00:00,/chat,POST,200,7432.489,0.0,0,0,False,116,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.174079+00:00,/chat,POST,200,7433.085,0.0,0,0,False,131,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.174460+00:00,/chat,POST,200,7433.528,0.0,0,0,False,102,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.174791+00:00,/chat,POST,200,7433.184,0.0,0,0,False,112,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.175325+00:00,/chat,POST,200,7433.821,0.0,0,0,False,522,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.175728+00:00,/chat,POST,200,7434.265,0.0,0,0,False,4252,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.176426+00:00,/chat,POST,200,7435.13,0.0,0,0,False,122,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.176867+00:00,/chat,POST,200,7435.508,0.0,0,0,False,626,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.177302+00:00,/chat,POST,200,7435.923,0.0,0,0,False,109,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.177692+00:00,/chat,POST,200,7436.737,0.0,0,0,False,122,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.178066+00:00,/chat,POST,200,7436.169,0.0,0,0,False,109,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.178435+00:00,/chat,POST,200,6158.546,0.0,0,0,False,4325,187,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.178736+00:00,/chat,POST,200,7437.339,0.0,0,0,False,2811,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.179072+00:00,/chat,POST,200,7437.122,0.0,0,0,False,131,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.179385+00:00,/chat,POST,200,5643.243,0.0,0,0,False,126,185,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.179837+00:00,/chat,POST,200,7439.629,0.0,0,0,False,2851,185,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.180141+00:00,/chat,POST,200,7442.766,0.0,0,0,False,610,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.180540+00:00,/chat,POST,200,7440.227,0.0,0,0,False,127,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.180794+00:00,/chat,POST,200,7440.61,0.0,0,0,False,130,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.181115+00:00,/chat,POST,200,7443.689,0.0,0,0,False,4320,187,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.183478+00:00,/chat,POST,200,7443.369,0.0,0,0,False,2769,187,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.191274+00:00,/chat,POST,200,7453.816,0.0,0,0,False,4407,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.193580+00:00,/chat,POST,200,7453.33,0.0,0,0,False,111,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.212309+00:00,/chat,POST,200,7471.971,0.0,0,0,False,571,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.213679+00:00,/chat,POST,200,7473.202,0.0,0,0,False,135,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.214202+00:00,/chat,POST,200,7473.931,0.0,0,0,False,4268,187,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.219042+00:00,/chat,POST,200,7481.561,0.0,0,0,False,2877,187,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.224603+00:00,/chat,POST,200,7484.087,0.0,0,0,False,109,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.229487+00:00,/chat,POST,200,7489.349,0.0,0,0,False,116,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.229813+00:00,/chat,POST,200,7489.456,0.0,0,0,False,615,185,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.238187+00:00,/chat,POST,200,7498.027,0.0,0,0,False,122,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.243761+00:00,/chat,POST,200,7506.249,0.0,0,0,False,4340,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.245613+00:00,/chat,POST,200,7505.205,0.0,0,0,False,119,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.252060+00:00,/chat,POST,200,7511.629,0.0,0,0,False,136,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.252691+00:00,/chat,POST,200,7512.462,0.0,0,0,False,546,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.253373+00:00,/chat,POST,200,7512.832,0.0,0,0,False,138,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.257502+00:00,/chat,POST,200,7517.474,0.0,0,0,False,101,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.259290+00:00,/chat,POST,200,7519.211,0.0,0,0,False,538,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.259600+00:00,/chat,POST,200,7518.952,0.0,0,0,False,538,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.260424+00:00,/chat,POST,200,7519.972,0.0,0,0,False,122,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.266813+00:00,/chat,POST,200,7526.116,0.0,0,0,False,131,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.268310+00:00,/chat,POST,200,7527.813,0.0,0,0,False,627,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.271373+00:00,/chat,POST,200,7689.465,0.0,0,0,False,123,185,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.271909+00:00,/chat,POST,200,7531.615,0.0,0,0,False,4325,187,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.281991+00:00,/chat,POST,200,7541.317,0.0,0,0,False,134,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.293452+00:00,/chat,POST,200,7553.072,0.0,0,0,False,127,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.315618+00:00,/chat,POST,200,7574.785,0.0,0,0,False,109,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.316686+00:00,/chat,POST,200,7575.919,0.0,0,0,False,132,186,stress-test-user-001,12208.6,50.6
2026-05-01T07:12:49.510685+00:00,/chat,POST,200,7769.944,0.0,0,0,False,122,186,stress-test-user-001,12183.8,48.1
2026-05-01T07:12:49.522920+00:00,/chat,POST,200,7782.112,0.0,0,0,False,112,186,stress-test-user-001,12183.8,48.1
2026-05-01T07:12:49.824993+00:00,/chat,POST,200,8084.274,0.0,0,0,False,546,186,stress-test-user-001,12183.8,48.1
2026-05-01T07:12:49.876005+00:00,/chat,POST,200,8135.218,0.0,0,0,False,130,186,stress-test-user-001,12183.8,48.1
2026-05-01T07:12:49.877505+00:00,/chat,POST,200,8136.656,0.0,0,0,False,131,186,stress-test-user-001,12183.8,48.1
2026-05-01T07:12:49.887428+00:00,/chat,POST,200,8146.558,0.0,0,0,False,130,186,stress-test-user-001,12183.8,48.1
2026-05-01T07:12:50.035560+00:00,/chat,POST,200,718.328,0.0,0,0,False,512,186,stress-test-user-001,12183.8,48.1
2026-05-01T07:12:50.448873+00:00,/chat,POST,200,739.859,0.0,0,0,False,122,186,stress-test-user-001,12183.8,48.1
