ts,endpoint,method,status_code,latency_e2e_ms,inference_ms,tokens_in,tokens_out,used_search,req_bytes,resp_bytes,uid,ram_used_mb,cpu_avg_pct
2026-05-01T06:00:11.367804+00:00,/chat,POST,422,6.981,0.0,0,0,False,0,82,anonymous,13280.8,6.5
2026-05-01T06:00:18.935264+00:00,/chat,POST,200,22095.498,21484.63,0,0,False,125,4561,stress-test-user-001,13300.1,6.7
2026-05-01T06:00:43.307511+00:00,/chat,POST,200,24370.909,23840.633,0,0,False,133,5182,stress-test-user-001,13270.2,6.2
2026-05-01T06:00:51.221640+00:00,/chat,POST,422,3.094,0.0,0,0,False,4462,4548,anonymous,13243.4,7.1
2026-05-01T06:01:16.431976+00:00,/chat,POST,200,33122.979,32546.662,0,0,False,135,7373,stress-test-user-001,13392.0,6.3
2026-05-01T06:01:33.643835+00:00,/chat,POST,200,17210.658,16653.37,0,0,False,127,3929,stress-test-user-001,13258.3,6.3
2026-05-01T06:01:57.559367+00:00,/chat,POST,200,23914.135,23375.328,0,0,False,127,4668,stress-test-user-001,13226.9,6.9
2026-05-01T06:02:49.866157+00:00,/chat,POST,200,52305.538,51619.389,0,0,False,519,11623,stress-test-user-001,13099.5,6.0
2026-05-01T06:03:05.667358+00:00,/chat,POST,200,15799.948,15186.627,0,0,False,125,3842,stress-test-user-001,13063.2,6.7
2026-05-01T06:03:15.662252+00:00,/chat,POST,200,9993.653,9381.242,0,0,False,125,1937,stress-test-user-001,13054.5,7.0
2026-05-01T06:03:31.592528+00:00,/chat,POST,200,15928.735,15420.926,0,0,False,125,3597,stress-test-user-001,13147.4,7.1
2026-05-01T06:04:07.499570+00:00,/chat,POST,200,35905.572,35334.715,0,0,False,112,7326,stress-test-user-001,13096.3,6.8
2026-05-01T06:04:31.444689+00:00,/chat,POST,200,23943.635,23312.098,0,0,False,132,5321,stress-test-user-001,13077.8,6.8
2026-05-01T06:04:59.703916+00:00,/health,GET,200,0.837,0.0,0,0,False,0,573,anonymous,13024.0,6.7
2026-05-01T06:05:20.944460+00:00,/chat,POST,200,49497.424,48747.549,0,0,False,557,11268,stress-test-user-001,13155.0,6.6
2026-05-01T06:05:44.282248+00:00,/chat,POST,200,23336.414,22762.252,0,0,False,127,4135,stress-test-user-001,13043.0,6.2
